MES;DIA;HORA;PROVINCIA;CANTÓN;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
ENERO;SÁBADO;00:00 A 00:59;GUAYAS;NARANJAL;RURAL;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;01:00 A 01:59;GUAYAS;DURAN;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;01:00 A 01:59;PICHINCHA;QUITO;URBANA;0;3;3;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;01:00 A 01:59;PICHINCHA;QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;01:00 A 01:59;LOS RÍOS;VINCES;URBANA;0;2;2;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;01:00 A 01:59;GUAYAS;GUAYAQUIL;URBANA;1;0;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;SÁBADO;01:00 A 01:59;PICHINCHA;QUITO;RURAL;0;1;1;ESTRELLAMIENTOS;FACTORES CLIMÁTICOS
ENERO;SÁBADO;01:00 A 01:59;MANABÍ;PORTOVIEJO;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;02:00 A 02:59;MANABÍ;MANTA;URBANA;0;1;1;OTROS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;02:00 A 02:59;LOS RÍOS;BUENA FE;RURAL;0;2;2;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;02:00 A 02:59;MANABÍ;PORTOVIEJO;URBANA;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;02:00 A 02:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;RURAL;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;02:00 A 02:59;AZUAY;CUENCA;URBANA;0;1;1;VOLCAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;02:00 A 02:59;PICHINCHA;QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;03:00 A 03:59;ORELLANA;LA JOYA DE LOS SACHAS;RURAL;0;1;1;PÉRDIDA DE PISTA;FACTORES CLIMÁTICOS
ENERO;SÁBADO;03:00 A 03:59;ESMERALDAS;ESMERALDAS;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;03:00 A 03:59;SANTA ELENA;LA LIBERTAD;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;04:00 A 04:59;TUNGURAHUA;TISALEO;RURAL;0;1;1;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;04:00 A 04:59;IMBABURA;OTAVALO;RURAL;1;0;1;ATROPELLOS;EXCESO VELOCIDAD
ENERO;SÁBADO;04:00 A 04:59;GUAYAS;EL EMPALME;RURAL;0;1;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;SÁBADO;04:00 A 04:59;MANABÍ;MANTA;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;04:00 A 04:59;PICHINCHA;QUITO;URBANA;0;0;0;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
ENERO;SÁBADO;05:00 A 05:59;MANABÍ;PORTOVIEJO;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;05:00 A 05:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;RURAL;1;0;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;05:00 A 05:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;RURAL;1;0;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;05:00 A 05:59;GUAYAS;GUAYAQUIL;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;06:00 A 06:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;06:00 A 06:59;EL ORO;EL GUABO;RURAL;2;2;4;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;06:00 A 06:59;TUNGURAHUA;AMBATO;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;06:00 A 06:59;PICHINCHA;QUITO;RURAL;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;06:00 A 06:59;MANABÍ;PORTOVIEJO;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;07:00 A 07:59;ESMERALDAS;SAN LORENZO;RURAL;1;3;4;ATROPELLOS;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;07:00 A 07:59;LOJA;MACARA;URBANA;0;1;1;ESTRELLAMIENTOS;EMBRIAGUEZ O DROGA
