PROVINCIA;CANTÓN;MES;DIA;HORA;CLASE;CAUSA;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS
SANTA ELENA;LA LIBERTAD;ENERO;DOMINGO;00:00 A 00:59;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO;URBANA;0;1;1
AZUAY;CUENCA;ENERO;DOMINGO;00:00 A 00:59;PÉRDIDA DE PISTA;EXCESO VELOCIDAD;URBANA;0;1;1
GUAYAS;BALZAR;ENERO;DOMINGO;00:00 A 00:59;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR;URBANA;0;1;1
PICHINCHA;QUITO;ENERO;DOMINGO;00:00 A 00:59;CHOQUES;FACTORES CLIMÁTICOS;URBANA;0;0;0
TUNGURAHUA;AMBATO;ENERO;DOMINGO;00:00 A 00:59;ATROPELLOS;EXCESO VELOCIDAD;URBANA;1;0;1
SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;ENERO;DOMINGO;00:00 A 00:59;ATROPELLOS;EMBRIAGUEZ O DROGA;URBANA;0;2;2
TUNGURAHUA;AMBATO;ENERO;DOMINGO;00:00 A 00:59;ATROPELLOS;EXCESO VELOCIDAD;URBANA;0;3;3
PICHINCHA;QUITO;ENERO;DOMINGO;00:00 A 00:59;ATROPELLOS;EMBRIAGUEZ O DROGA;RURAL;0;6;6
TUNGURAHUA;AMBATO;ENERO;DOMINGO;01:00 A 01:59;ATROPELLOS;EXCESO VELOCIDAD;RURAL;1;0;1
MANABÍ;JUNIN;ENERO;DOMINGO;01:00 A 01:59;ESTRELLAMIENTOS;EXCESO VELOCIDAD;RURAL;1;0;1
LOS RÍOS;QUEVEDO;ENERO;DOMINGO;02:00 A 02:59;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR;URBANA;0;1;1
GUAYAS;GUAYAQUIL;ENERO;DOMINGO;03:00 A 03:59;CHOQUES;EXCESO VELOCIDAD;URBANA;0;1;1
MANABÍ;PORTOVIEJO;ENERO;DOMINGO;03:00 A 03:59;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO;URBANA;0;0;0
PICHINCHA;QUITO;ENERO;DOMINGO;03:00 A 03:59;ESTRELLAMIENTOS;EXCESO VELOCIDAD;RURAL;0;0;0
PICHINCHA;QUITO;ENERO;DOMINGO;04:00 A 04:59;CHOQUES;EMBRIAGUEZ O DROGA;URBANA;0;3;3
MANABÍ;MANTA;ENERO;DOMINGO;04:00 A 04:59;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR;URBANA;0;1;1
