MES;DIA;PROVINCIA;CANTÓN;ENTCONTROL;FERIADO;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
ENERO;SÁBADO;GUAYAS;NARANJAL;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;GUAYAS;DURAN;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;3;3;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;LOS RÍOS;VINCES;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;2;2;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;1;0;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;RURAL;0;1;1;ESTRELLAMIENTOS;FACTORES CLIMÁTICOS
ENERO;SÁBADO;MANABÍ;PORTOVIEJO;MPO;SI;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;MANABÍ;MANTA;MMA;SI;URBANA;0;1;1;OTROS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;LOS RÍOS;BUENA FE;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;2;2;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;MANABÍ;PORTOVIEJO;MPO;SI;URBANA;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;MSD;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;AZUAY;CUENCA;MCU;SI;URBANA;0;1;1;VOLCAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;ORELLANA;LA JOYA DE LOS SACHAS;PNE;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;FACTORES CLIMÁTICOS
ENERO;SÁBADO;ESMERALDAS;ESMERALDAS;MES;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;SANTA ELENA;LA LIBERTAD;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;TUNGURAHUA;TISALEO;PNE;SI;RURAL;0;1;1;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;IMBABURA;OTAVALO;MEP;SI;RURAL;1;0;1;ATROPELLOS;EXCESO VELOCIDAD
ENERO;SÁBADO;GUAYAS;EL EMPALME;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;SÁBADO;MANABÍ;MANTA;MMA;SI;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
ENERO;SÁBADO;MANABÍ;PORTOVIEJO;MPO;SI;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
