"PROVINCIA";"CANTÓN";"MES";"DIA";"HORA";"CLASE";"CAUSA";"ZONA";"NUM_FALLECIDO";"NUM_LESIONADO";"TOTAL_VICTIMAS"
24;"2402";1;7;0;3;7;1;0;1;1
1;"0101";1;7;0;7;3;1;0;1;1
9;"0904";1;7;0;1;4;1;0;1;1
17;"1701";1;7;0;3;8;1;0;0;0
18;"1801";1;7;0;1;3;1;1;0;1
23;"2301";1;7;0;1;1;1;0;2;2
18;"1801";1;7;0;1;3;1;0;3;3
17;"1701";1;7;0;1;1;2;0;6;6
18;"1801";1;7;1;1;3;2;1;0;1
13;"1307";1;7;1;4;3;2;1;0;1
12;"1205";1;7;2;1;4;1;0;1;1
9;"0901";1;7;3;3;3;1;0;1;1
13;"1301";1;7;3;3;7;1;0;0;0
17;"1701";1;7;3;4;3;2;0;0;0
17;"1701";1;7;4;3;1;1;0;3;3
13;"1308";1;7;4;7;4;1;0;1;1
9;"0911";1;7;5;1;4;1;0;1;1
17;"1703";1;7;5;3;4;2;0;1;1
9;"0911";1;7;5;2;5;2;0;2;2
6;"0601";1;7;5;3;7;1;0;0;0
12;"1210";1;7;5;5;4;2;0;0;0
6;"0601";1;7;5;3;4;2;0;3;3
9;"0901";1;7;5;7;3;1;0;1;1
13;"1308";1;7;6;3;4;1;0;0;0
5;"0502";1;7;6;3;4;1;0;1;1
23;"2301";1;7;6;7;8;1;0;1;1
17;"1701";1;7;6;4;3;1;0;0;0
17;"1701";1;7;6;4;7;2;0;0;0
24;"2401";1;7;6;7;4;2;0;3;3
24;"2403";1;7;6;3;4;2;0;1;1
22;"2203";1;7;6;3;4;2;0;1;1
23;"2301";1;7;7;3;1;1;0;3;3
18;"1801";1;7;7;4;1;1;0;0;0
9;"0901";1;7;7;7;3;1;0;0;0
9;"0901";1;7;7;7;3;1;0;0;0
9;"0920";1;7;7;3;4;2;0;1;1
9;"0901";1;7;7;1;10;1;0;1;1
24;"2401";1;7;7;3;4;2;0;0;0
9;"0901";1;7;7;4;3;1;0;0;0
17;"1701";1;7;7;3;3;2;0;0;0
9;"0901";1;7;7;3;4;1;0;0;0
24;"2401";1;7;7;3;7;2;0;0;0
9;"0901";1;7;7;4;3;1;0;2;2
13;"1310";1;7;8;3;7;2;0;5;5
10;"1001";1;7;8;7;4;2;0;0;0
23;"2301";1;7;8;7;3;2;1;0;1
18;"1801";1;7;9;4;1;2;0;1;1
17;"1707";1;7;9;4;4;2;0;0;0
12;"1207";1;7;9;2;5;1;0;1;1
17;"1701";1;7;9;1;4;1;0;1;1
13;"1308";1;7;9;3;4;1;0;0;0
5;"0506";1;7;9;7;4;1;0;2;2
9;"0901";1;7;9;3;7;1;1;3;4
13;"1308";1;7;9;3;4;1;0;0;0
5;"0506";1;7;10;7;4;2;1;2;3
2;"0203";1;7;10;7;4;1;1;0;1
21;"2104";1;7;10;7;4;2;0;1;1
9;"0914";1;7;11;1;4;2;0;1;1
9;"0911";1;7;11;2;5;2;0;1;1
16;"1603";1;7;12;4;10;2;0;0;0
1;"0101";1;7;12;3;7;2;0;0;0
9;"0909";1;7;12;4;4;2;0;0;0
9;"0920";1;7;12;7;4;2;0;1;1
24;"2403";1;7;12;3;7;2;0;2;2
9;"0906";1;7;13;7;4;2;0;2;2
13;"1301";1;7;13;4;3;1;0;0;0
10;"1004";1;7;13;3;1;2;0;1;1
13;"1312";1;7;13;3;4;2;0;0;0
13;"1309";1;7;14;3;7;2;0;0;0
17;"1701";1;7;14;4;8;1;0;1;1
17;"1701";1;7;14;3;8;1;0;1;1
11;"1101";1;7;15;3;4;2;0;0;0
17;"1701";1;7;15;4;3;1;0;0;0
9;"0922";1;7;15;2;5;2;0;2;2
17;"1701";1;7;15;4;8;2;0;0;0
17;"1701";1;7;15;4;8;1;0;0;0
9;"0908";1;7;16;3;7;2;0;4;4
10;"1001";1;7;16;7;7;1;1;0;1
6;"0603";1;7;16;3;4;2;0;0;0
9;"0901";1;7;16;3;4;1;0;1;1
24;"2401";1;7;16;7;4;1;0;0;0
24;"2401";1;7;16;1;4;2;0;1;1
9;"0916";1;7;17;3;7;2;0;1;1
17;"1703";1;7;17;7;4;2;0;4;4
9;"0901";1;7;17;3;3;1;0;1;1
12;"1205";1;7;17;3;7;1;0;1;1
24;"2402";1;7;17;7;4;1;0;1;1
17;"1703";1;7;18;3;4;2;0;0;0
17;"1701";1;7;18;3;8;1;0;0;0
9;"0901";1;7;18;7;4;1;0;1;1
24;"2401";1;7;18;7;4;2;0;0;0
17;"1701";1;7;18;3;8;1;0;1;1
9;"0910";1;7;18;2;5;1;0;1;1
12;"1206";1;7;19;3;4;1;0;3;3
9;"0920";1;7;19;3;7;1;1;0;1
24;"2401";1;7;19;3;4;2;0;0;0
24;"2403";1;7;19;3;4;1;0;1;1
6;"0610";1;7;19;3;4;2;0;2;2
9;"0906";1;7;19;1;4;1;0;3;3
11;"1101";1;7;20;3;1;2;0;1;1
6;"0603";1;7;20;1;4;2;1;0;1
17;"1701";1;7;20;4;1;1;0;1;1
13;"1308";1;7;20;3;4;1;1;0;1
13;"1309";1;7;20;1;4;2;0;1;1
9;"0922";1;7;20;3;7;2;0;3;3
9;"0901";1;7;20;4;7;1;0;0;0
13;"1312";1;7;21;5;4;2;0;2;2
17;"1701";1;7;21;4;8;1;0;2;2
9;"0910";1;7;21;3;7;2;0;2;2
13;"1301";1;7;21;3;3;1;1;2;3
1;"0103";1;7;21;3;7;2;0;1;1
23;"2301";1;7;21;4;3;1;0;1;1
1;"0101";1;7;21;7;4;2;0;4;4
17;"1703";1;7;22;3;4;2;0;1;1
24;"2401";1;7;22;2;5;2;0;1;1
6;"0607";1;7;22;7;4;2;0;0;0
