"MES";"DIA";"PROVINCIA";"CANTÓN";"HORA";"ZONA";"NUM_FALLECIDO";"NUM_LESIONADO";"TOTAL_VICTIMAS";"CLASE";"CAUSA"
"1";"1";"9";"0901";"2";"1";0;0;0;"4";"4"
"1";"1";"9";"0901";"3";"1";0;1;1;"3";"4"
"1";"1";"9";"0901";"4";"1";0;1;1;"7";"1"
"1";"1";"9";"0901";"5";"1";0;0;0;"4";"8"
"1";"1";"9";"0901";"6";"1";0;3;3;"7";"3"
"1";"1";"9";"0901";"7";"1";0;1;1;"7";"3"
"1";"1";"9";"0901";"8";"1";0;3;3;"3";"7"
"1";"1";"9";"0901";"9";"1";0;2;2;"3";"7"
"1";"1";"9";"0901";"10";"1";0;0;0;"3";"3"
"1";"1";"9";"0901";"11";"1";0;2;2;"3";"3"
"1";"1";"9";"0901";"12";"1";0;1;1;"1";"3"
"1";"1";"9";"0901";"13";"1";0;1;1;"1";"3"
"1";"1";"9";"0901";"14";"1";0;3;3;"3";"1"
"1";"1";"9";"0901";"15";"1";0;0;0;"3";"3"
"1";"1";"9";"0901";"16";"1";0;0;0;"7";"1"
"1";"1";"9";"0901";"17";"1";0;1;1;"1";"7"
"1";"1";"9";"0901";"18";"1";0;1;1;"5";"1"
"1";"1";"9";"0901";"19";"1";0;1;1;"1";"3"
"1";"1";"9";"0901";"23";"1";0;2;2;"7";"3"
"1";"2";"9";"0901";"20";"1";0;1;1;"7";"3"
"1";"2";"9";"0901";"21";"1";0;1;1;"7";"3"
"1";"2";"9";"0901";"22";"1";0;0;0;"7";"3"
"1";"2";"9";"0901";"0";"1";0;0;0;"5";"4"
"1";"2";"9";"0901";"1";"1";0;1;1;"3";"7"
"1";"2";"9";"0901";"2";"1";0;2;2;"3";"7"
"1";"2";"9";"0901";"3";"1";0;0;0;"3";"4"
"1";"2";"9";"0901";"4";"1";0;2;2;"3";"4"
"1";"3";"9";"0901";"5";"1";0;1;1;"7";"3"
"1";"3";"9";"0901";"6";"1";0;0;0;"7";"3"
"1";"3";"9";"0901";"7";"1";0;0;0;"5";"3"
"1";"3";"9";"0901";"8";"1";0;2;2;"3";"4"
"1";"3";"9";"0901";"9";"1";0;0;0;"3";"7"
"1";"3";"9";"0901";"10";"1";0;1;1;"6";"3"
"1";"3";"9";"0901";"11";"1";0;1;1;"3";"7"
"1";"3";"9";"0901";"12";"1";0;1;1;"1";"4"
"1";"3";"9";"0901";"13";"1";0;0;0;"5";"10"
"1";"4";"9";"0901";"14";"1";0;2;2;"3";"7"
"1";"4";"9";"0901";"15";"1";0;1;1;"7";"3"
"1";"4";"9";"0901";"16";"1";0;1;1;"1";"7"
"1";"4";"9";"0901";"17";"1";0;2;2;"3";"7"
"1";"4";"9";"0901";"18";"1";0;1;1;"1";"7"
"1";"4";"9";"0901";"19";"1";0;0;0;"3";"3"
"1";"4";"9";"0901";"20";"1";0;1;1;"3";"3"
"1";"5";"9";"0901";"21";"1";0;0;0;"3";"7"
"1";"5";"9";"0901";"22";"1";0;1;1;"2";"10"
"1";"5";"9";"0901";"23";"1";0;1;1;"3";"3"
"1";"5";"9";"0901";"0";"1";0;0;0;"3";"7"
"1";"5";"9";"0901";"1";"1";0;1;1;"3";"7"
"1";"5";"9";"0901";"2";"1";0;1;1;"3";"7"
"1";"5";"9";"0901";"3";"1";0;0;0;"3";"3"
"1";"5";"9";"0901";"4";"1";0;1;1;"1";"3"
"1";"5";"9";"0901";"5";"1";0;0;0;"3";"1"
"1";"5";"9";"0901";"6";"1";0;2;2;"1";"10"
"1";"6";"9";"0901";"7";"1";0;1;1;"3";"7"
"1";"6";"9";"0901";"8";"1";0;1;1;"3";"1"
"1";"6";"9";"0901";"9";"1";0;1;1;"3";"4"
"1";"6";"9";"0901";"10";"1";1;0;1;"1";"3"
"1";"6";"9";"0901";"11";"1";0;4;4;"3";"1"
"1";"6";"9";"0901";"12";"1";1;0;1;"7";"3"
"1";"6";"9";"0901";"13";"1";1;0;1;"3";"4"
"1";"6";"9";"0901";"14";"1";0;1;1;"3";"7"
"1";"6";"9";"0901";"15";"1";0;0;0;"3";"7"
"1";"6";"9";"0901";"16";"1";0;1;1;"3";"7"
"1";"6";"9";"0901";"17";"1";0;1;1;"1";"3"
"1";"6";"9";"0901";"18";"1";0;1;1;"3";"7"
"1";"6";"9";"0901";"19";"1";0;1;1;"3";"4"
"1";"6";"9";"0901";"20";"1";0;1;1;"4";"3"
"1";"6";"9";"0901";"21";"1";0;1;1;"7";"3"
"1";"6";"9";"0901";"22";"1";0;1;1;"7";"6"
"1";"6";"9";"0901";"23";"1";0;1;1;"3";"3"
"1";"6";"9";"0901";"7";"1";0;1;1;"1";"3"
"1";"7";"9";"0901";"0";"1";0;3;3;"7";"10"
"1";"7";"9";"0901";"1";"1";0;2;2;"3";"7"
"1";"7";"9";"0901";"2";"1";0;1;1;"7";"3"
"1";"7";"9";"0901";"3";"1";0;0;0;"7";"3"
"1";"7";"9";"0901";"4";"1";0;1;1;"1";"3"
"1";"7";"9";"0901";"5";"1";0;0;0;"7";"1"
"1";"7";"9";"0901";"6";"1";0;2;2;"7";"3"
"1";"7";"9";"0901";"8";"1";1;1;2;"7";"3"
"1";"7";"9";"0901";"9";"1";0;1;1;"7";"3"
"1";"7";"9";"0901";"10";"1";0;1;1;"5";"10"
"1";"7";"9";"0901";"11";"1";0;1;1;"1";"3"
"1";"7";"9";"0901";"12";"1";0;1;1;"4";"4"
"1";"7";"9";"0901";"13";"1";0;1;1;"1";"3"
"1";"7";"9";"0901";"14";"1";0;1;1;"7";"3"
"1";"7";"9";"0901";"15";"1";0;1;1;"1";"1"
"1";"1";"9";"0901";"16";"1";0;2;2;"5";"3"
"1";"1";"9";"0901";"17";"1";0;0;0;"4";"3"
"1";"1";"9";"0901";"18";"1";0;1;1;"1";"7"
"1";"1";"9";"0901";"19";"1";0;0;0;"3";"3"
"1";"2";"9";"0901";"20";"1";0;1;1;"1";"3"
"1";"3";"9";"0901";"21";"1";0;3;3;"3";"7"
"1";"3";"9";"0901";"22";"1";0;1;1;"6";"8"
"1";"3";"9";"0901";"23";"1";0;0;0;"7";"8"
"1";"3";"9";"0901";"0";"1";0;0;0;"7";"3"
"1";"4";"9";"0901";"1";"1";0;0;0;"3";"4"
"1";"4";"9";"0901";"2";"1";0;1;1;"3";"7"
"1";"4";"9";"0901";"3";"1";0;2;2;"3";"7"
"1";"4";"9";"0901";"4";"1";0;0;0;"4";"7"
"1";"4";"9";"0901";"5";"1";0;1;1;"1";"3"
"1";"4";"9";"0901";"6";"1";0;1;1;"1";"3"
"1";"4";"9";"0901";"7";"1";0;0;0;"5";"3"
"1";"5";"9";"0901";"8";"1";0;1;1;"6";"3"
"1";"5";"9";"0901";"9";"1";0;1;1;"6";"3"
"1";"5";"9";"0901";"10";"1";0;0;0;"4";"4"
"1";"5";"9";"0901";"11";"1";0;2;2;"3";"7"
"1";"5";"9";"0901";"12";"1";1;0;1;"1";"4"
"1";"5";"9";"0901";"13";"1";0;0;0;"3";"7"
"1";"6";"9";"0901";"14";"1";0;1;1;"2";"5"
"1";"6";"9";"0901";"15";"1";0;3;3;"5";"4"
"1";"6";"9";"0901";"16";"1";0;1;1;"3";"3"
"1";"6";"9";"0901";"17";"1";0;2;2;"1";"5"
"1";"6";"9";"0901";"18";"1";0;1;1;"1";"7"
"1";"6";"9";"0901";"19";"1";0;0;0;"3";"6"
"1";"7";"9";"0901";"20";"1";1;1;2;"3";"7"
"1";"7";"9";"0901";"21";"1";0;1;1;"3";"4"
"1";"7";"9";"0901";"22";"1";0;0;0;"7";"3"
"1";"7";"9";"0901";"23";"1";0;1;1;"7";"3"
"1";"7";"9";"0901";"0";"1";0;3;3;"3";"2"
"1";"7";"9";"0901";"1";"1";0;0;0;"7";"3"
"1";"1";"9";"0901";"2";"1";0;0;0;"4";"3"
"1";"1";"9";"0901";"3";"1";0;1;1;"7";"3"
"1";"1";"9";"0901";"4";"1";0;2;2;"3";"2"
"1";"1";"9";"0901";"5";"1";0;1;1;"4";"10"
"1";"1";"9";"0901";"6";"1";0;0;0;"3";"3"
"1";"1";"9";"0901";"7";"1";0;1;1;"3";"3"
"1";"1";"9";"0901";"8";"1";0;0;0;"3";"3"
"1";"1";"9";"0901";"9";"1";0;1;1;"7";"3"
"1";"1";"9";"0901";"10";"1";1;0;1;"1";"3"
"1";"2";"9";"0901";"11";"1";0;2;2;"7";"3"
"1";"2";"9";"0901";"12";"1";0;0;0;"7";"3"
"1";"2";"9";"0901";"13";"1";0;1;1;"7";"3"
"1";"2";"9";"0901";"14";"1";0;2;2;"3";"3"
"1";"2";"9";"0901";"15";"1";2;0;2;"3";"3"
"1";"2";"9";"0901";"16";"1";0;1;1;"7";"3"
"1";"2";"9";"0901";"17";"1";0;1;1;"7";"3"
"1";"2";"9";"0901";"18";"1";0;0;0;"3";"7"
"1";"2";"9";"0901";"19";"1";0;1;1;"1";"3"
"1";"2";"9";"0901";"20";"1";0;1;1;"3";"3"
"1";"2";"9";"0901";"21";"1";0;0;0;"3";"4"
"1";"2";"9";"0901";"22";"1";0;1;1;"7";"3"
"1";"2";"9";"0901";"23";"1";0;2;2;"1";"4"
"1";"3";"9";"0901";"0";"1";0;1;1;"7";"3"
"1";"3";"9";"0901";"1";"1";0;1;1;"3";"4"
"1";"3";"9";"0901";"2";"1";0;1;1;"7";"3"
"1";"3";"9";"0901";"3";"1";0;1;1;"1";"4"
"1";"3";"9";"0901";"4";"1";0;2;2;"3";"3"
"1";"3";"9";"0901";"5";"1";0;2;2;"7";"3"
"1";"3";"9";"0901";"6";"1";0;0;0;"3";"3"
"1";"3";"9";"0901";"7";"1";0;1;1;"5";"3"
"1";"3";"9";"0901";"8";"1";0;1;1;"3";"3"
"1";"4";"9";"0901";"9";"1";0;1;1;"1";"3"
"1";"4";"9";"0901";"10";"1";1;0;1;"1";"10"
"1";"4";"9";"0901";"11";"1";0;1;1;"3";"7"
"1";"4";"9";"0901";"12";"1";0;1;1;"3";"7"
"1";"4";"9";"0901";"13";"1";0;1;1;"1";"5"
"1";"4";"9";"0901";"14";"1";0;1;1;"3";"7"
"1";"5";"9";"0901";"15";"1";0;1;1;"3";"3"
"1";"5";"9";"0901";"16";"1";0;2;2;"7";"3"
"1";"5";"9";"0901";"17";"1";0;1;1;"1";"7"
"1";"5";"9";"0901";"18";"1";0;1;1;"7";"3"
"1";"5";"9";"0901";"19";"1";0;1;1;"1";"7"
"1";"5";"9";"0901";"20";"1";0;1;1;"7";"3"
"1";"5";"9";"0901";"21";"1";0;1;1;"1";"3"
"1";"5";"9";"0901";"22";"1";0;1;1;"3";"7"
"1";"6";"9";"0901";"23";"1";0;2;2;"7";"1"
"1";"6";"9";"0901";"0";"1";1;0;1;"3";"7"
"1";"6";"9";"0901";"1";"1";0;2;2;"1";"5"
"1";"6";"9";"0901";"2";"1";0;2;2;"3";"7"
"1";"6";"9";"0901";"3";"1";0;2;2;"3";"7"
"1";"6";"9";"0901";"4";"1";0;1;1;"7";"3"
"1";"6";"9";"0901";"5";"1";0;1;1;"3";"4"
"1";"6";"9";"0901";"6";"1";0;0;0;"3";"3"
"1";"6";"9";"0901";"7";"1";0;0;0;"4";"3"
"1";"6";"9";"0901";"8";"1";0;0;0;"5";"3"
"1";"6";"9";"0901";"9";"1";1;0;1;"3";"10"
"1";"6";"9";"0901";"11";"1";0;0;0;"4";"3"
"1";"7";"9";"0901";"10";"1";0;2;2;"1";"4"
"1";"7";"9";"0901";"12";"1";0;0;0;"3";"7"
"1";"7";"9";"0901";"13";"1";0;0;0;"4";"8"
"1";"7";"9";"0901";"14";"1";0;0;0;"4";"3"
"1";"7";"9";"0901";"15";"1";0;2;2;"3";"7"
"1";"1";"9";"0901";"16";"1";0;1;1;"7";"7"
"1";"1";"9";"0901";"17";"1";0;0;0;"7";"3"
"1";"1";"9";"0901";"18";"1";0;1;1;"7";"10"
"1";"1";"9";"0901";"19";"1";0;1;1;"4";"3"
"1";"1";"9";"0901";"20";"1";0;1;1;"5";"3"
"1";"1";"9";"0901";"21";"1";0;3;3;"3";"3"
"1";"1";"9";"0901";"22";"1";0;2;2;"3";"7"
"1";"1";"9";"0901";"23";"1";0;0;0;"3";"7"
"1";"1";"9";"0901";"0";"1";0;1;1;"3";"2"
"1";"1";"9";"0901";"1";"1";0;1;1;"3";"3"
"1";"1";"9";"0901";"2";"1";0;0;0;"4";"4"
"1";"1";"9";"0901";"3";"1";0;0;0;"3";"3"
"1";"2";"9";"0901";"4";"1";0;1;1;"3";"7"
"1";"2";"9";"0901";"5";"1";0;1;1;"3";"7"
"1";"2";"9";"0901";"6";"1";0;1;1;"3";"7"
"1";"2";"9";"0901";"7";"1";0;1;1;"6";"3"
"1";"2";"9";"0901";"8";"1";1;0;1;"3";"4"
"1";"2";"9";"0901";"9";"1";0;1;1;"3";"4"
"1";"2";"9";"0901";"10";"1";0;0;0;"3";"7"
"1";"2";"9";"0901";"11";"1";0;1;1;"3";"7"
"1";"2";"9";"0901";"12";"1";0;2;2;"3";"4"
"1";"2";"9";"0901";"14";"1";0;2;2;"1";"4"
"1";"3";"9";"0901";"13";"1";0;0;0;"3";"3"
"1";"3";"9";"0901";"15";"1";0;1;1;"3";"4"
"1";"3";"9";"0901";"16";"1";0;1;1;"7";"3"
"1";"3";"9";"0901";"17";"1";0;0;0;"3";"7"
"1";"3";"9";"0901";"18";"1";0;1;1;"3";"4"
"1";"3";"9";"0901";"19";"1";0;1;1;"3";"7"
"1";"3";"9";"0901";"20";"1";0;2;2;"7";"10"
"1";"3";"9";"0901";"21";"1";0;2;2;"3";"3"
"1";"3";"9";"0901";"22";"1";0;0;0;"4";"6"
"1";"4";"9";"0901";"23";"1";0;1;1;"3";"3"
"1";"4";"9";"0901";"0";"1";0;1;1;"7";"3"
"1";"4";"9";"0901";"1";"1";0;1;1;"4";"6"
"1";"4";"9";"0901";"2";"1";0;2;2;"1";"3"
"1";"4";"9";"0901";"4";"1";0;0;0;"3";"3"
"1";"5";"9";"0901";"3";"1";0;0;0;"4";"3"
"1";"5";"9";"0901";"5";"1";0;2;2;"5";"3"
"1";"5";"9";"0901";"6";"1";0;1;1;"3";"3"
"1";"5";"9";"0901";"7";"1";0;2;2;"3";"7"
"1";"5";"9";"0901";"8";"1";0;1;1;"3";"3"
"1";"5";"9";"0901";"9";"1";0;1;1;"3";"3"
"1";"5";"9";"0901";"10";"1";0;1;1;"1";"3"
"1";"5";"9";"0901";"11";"1";0;1;1;"3";"7"
"1";"6";"9";"0901";"12";"1";0;2;2;"1";"3"
"1";"6";"9";"0901";"13";"1";0;1;1;"3";"3"
"1";"6";"9";"0901";"14";"1";0;1;1;"3";"7"
"1";"6";"9";"0901";"15";"1";0;3;3;"3";"3"
